Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 -4.00027 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 -0.67912 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 -0.23351 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 -0.08014 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 -0.04707 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 -0.03435 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 -0.01623 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 -0.01209 
4  0.00  0.00 2.00  0.00 6.00  0.00 8.00  0.00 -0.19407 
4  0.00  0.00 2.00  0.00 8.00  0.00 10.00  0.00 -0.06415 
4  0.00  0.00 2.00  0.00 10.00  0.00 12.00  0.00 -0.04017 
4  0.00  0.00 2.00  0.00 12.00  0.00 14.00  0.00 -0.02343 
4  0.00  0.00 2.00  0.00 14.00  0.00 7.00  0.00 0.20890 
4  0.00  0.00 2.00  0.00 7.00  0.00 9.00  0.00 -0.11769 
4  0.00  0.00 2.00  0.00 9.00  0.00 11.00  0.00 -0.05022 
4  0.00  0.00 2.00  0.00 11.00  0.00 13.00  0.00 -0.03180 
4  0.00  0.00 2.00  0.00 13.00  0.00 15.00  0.00 -0.01562 
4  0.00  0.00 3.00  0.00 10.00  0.00 13.00  0.00 -0.11208 
4  0.00  0.00 3.00  0.00 13.00  0.00 16.00  0.00 -0.04169 
4  0.00  0.00 3.00  0.00 16.00  0.00 19.00  0.00 -0.03212 
4  0.00  0.00 3.00  0.00 19.00  0.00 11.00  0.00 0.13969 
4  0.00  0.00 3.00  0.00 11.00  0.00 14.00  0.00 -0.08281 
4  0.00  0.00 3.00  0.00 14.00  0.00 17.00  0.00 -0.03718 
4  0.00  0.00 3.00  0.00 17.00  0.00 20.00  0.00 -0.02592 
4  0.00  0.00 3.00  0.00 20.00  0.00 12.00  0.00 0.11015 
4  0.00  0.00 3.00  0.00 12.00  0.00 15.00  0.00 -0.06084 
4  0.00  0.00 3.00  0.00 15.00  0.00 18.00  0.00 -0.03495 
4  0.00  0.00 4.00  0.00 14.00  0.00 18.00  0.00 -0.08636 
4  0.00  0.00 4.00  0.00 18.00  0.00 22.00  0.00 -0.03831 
4  0.00  0.00 4.00  0.00 22.00  0.00 15.00  0.00 0.09891 
4  0.00  0.00 4.00  0.00 15.00  0.00 19.00  0.00 -0.07347 
4  0.00  0.00 4.00  0.00 19.00  0.00 23.00  0.00 -0.03362 
