Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  0.00  0.00 2.50  0.00 5.00  0.00 7.50  0.00 -2.02170 
4  0.00  0.00 2.50  0.00 7.50  0.00 10.00  0.00 -0.44072 
4  0.00  0.00 2.50  0.00 10.00  0.00 12.50  0.00 -0.20608 
4  0.00  0.00 2.50  0.00 12.50  0.00 15.00  0.00 -0.08393 
4  0.00  0.00 2.50  0.00 15.00  0.00 17.50  0.00 -0.06391 
4  0.00  0.00 2.50  0.00 17.50  0.00 20.00  0.00 -0.04101 
4  0.00  0.00 2.50  0.00 20.00  0.00 22.50  0.00 -0.03196 
4  0.00  0.00 2.50  0.00 22.50  0.00 25.00  0.00 -0.02528 
4  0.00  0.00 5.00  0.00 15.00  0.00 20.00  0.00 -0.27506 
4  0.00  0.00 5.00  0.00 20.00  0.00 25.00  0.00 -0.13803 
4  0.00  0.00 5.00  0.00 25.00  0.00 30.00  0.00 -0.08219 
4  0.00  0.00 5.00  0.00 30.00  0.00 35.00  0.00 -0.03949 
4  0.00  0.00 5.00  0.00 35.00  0.00 17.50  0.00 0.36458 
4  0.00  0.00 5.00  0.00 17.50  0.00 22.50  0.00 -0.18204 
4  0.00  0.00 5.00  0.00 22.50  0.00 27.50  0.00 -0.10718 
4  0.00  0.00 5.00  0.00 27.50  0.00 32.50  0.00 -0.05948 
4  0.00  0.00 5.00  0.00 32.50  0.00 37.50  0.00 -0.02361 
4  0.00  0.00 7.50  0.00 25.00  0.00 32.50  0.00 -0.20389 
4  0.00  0.00 7.50  0.00 32.50  0.00 40.00  0.00 -0.05959 
4  0.00  0.00 7.50  0.00 40.00  0.00 47.50  0.00 -0.02980 
4  0.00  0.00 7.50  0.00 47.50  0.00 27.50  0.00 0.20340 
4  0.00  0.00 7.50  0.00 27.50  0.00 35.00  0.00 -0.13819 
4  0.00  0.00 7.50  0.00 35.00  0.00 42.50  0.00 -0.04520 
4  0.00  0.00 7.50  0.00 42.50  0.00 50.00  0.00 -0.02621 
4  0.00  0.00 7.50  0.00 50.00  0.00 30.00  0.00 0.14489 
4  0.00  0.00 7.50  0.00 30.00  0.00 37.50  0.00 -0.09247 
4  0.00  0.00 7.50  0.00 37.50  0.00 45.00  0.00 -0.03392 
4  0.00  0.00 10.00  0.00 35.00  0.00 45.00  0.00 -0.07789 
4  0.00  0.00 10.00  0.00 45.00  0.00 55.00  0.00 -0.04037 
4  0.00  0.00 10.00  0.00 55.00  0.00 37.50  0.00 0.09107 
4  0.00  0.00 10.00  0.00 37.50  0.00 47.50  0.00 -0.06335 
4  0.00  0.00 10.00  0.00 47.50  0.00 57.50  0.00 -0.03098 
4  0.00  0.00 10.00  0.00 57.50  0.00 40.00  0.00 0.07321 
4  0.00  0.00 10.00  0.00 40.00  0.00 50.00  0.00 -0.05305 
4  0.00  0.00 10.00  0.00 50.00  0.00 60.00  0.00 -0.02816 
4  0.00  0.00 10.00  0.00 60.00  0.00 42.50  0.00 0.06383 
4  0.00  0.00 10.00  0.00 42.50  0.00 52.50  0.00 -0.04320 
4  0.00  0.00 10.00  0.00 52.50  0.00 62.50  0.00 -0.02859 
4  2.50  0.00 5.00  0.00 25.00  0.00 27.50  0.00 -0.02717 
4  2.50  0.00 5.00  0.00 7.50  0.00 10.00  0.00 -1.90142 
4  2.50  0.00 5.00  0.00 10.00  0.00 12.50  0.00 -0.56303 
4  2.50  0.00 5.00  0.00 12.50  0.00 15.00  0.00 -0.17481 
4  2.50  0.00 5.00  0.00 15.00  0.00 17.50  0.00 -0.10619 
4  2.50  0.00 5.00  0.00 17.50  0.00 20.00  0.00 -0.06290 
4  2.50  0.00 5.00  0.00 20.00  0.00 22.50  0.00 -0.04588 
4  2.50  0.00 5.00  0.00 22.50  0.00 25.00  0.00 -0.03558 
4  2.50  0.00 7.50  0.00 17.50  0.00 22.50  0.00 -0.30996 
4  2.50  0.00 7.50  0.00 22.50  0.00 27.50  0.00 -0.16310 
4  2.50  0.00 7.50  0.00 27.50  0.00 32.50  0.00 -0.08761 
4  2.50  0.00 7.50  0.00 32.50  0.00 37.50  0.00 -0.03400 
4  2.50  0.00 7.50  0.00 37.50  0.00 20.00  0.00 0.41204 
4  2.50  0.00 7.50  0.00 20.00  0.00 25.00  0.00 -0.21954 
4  2.50  0.00 7.50  0.00 25.00  0.00 30.00  0.00 -0.12048 
4  2.50  0.00 7.50  0.00 30.00  0.00 35.00  0.00 -0.05706 
4  2.50  0.00 7.50  0.00 35.00  0.00 40.00  0.00 -0.02363 
4  2.50  0.00 10.00  0.00 27.50  0.00 35.00  0.00 -0.17399 
4  2.50  0.00 10.00  0.00 35.00  0.00 42.50  0.00 -0.05322 
4  2.50  0.00 10.00  0.00 42.50  0.00 50.00  0.00 -0.02981 
4  2.50  0.00 10.00  0.00 50.00  0.00 30.00  0.00 0.17614 
4  2.50  0.00 10.00  0.00 30.00  0.00 37.50  0.00 -0.11389 
4  2.50  0.00 10.00  0.00 37.50  0.00 45.00  0.00 -0.04204 
4  2.50  0.00 10.00  0.00 45.00  0.00 52.50  0.00 -0.02609 
4  2.50  0.00 10.00  0.00 52.50  0.00 32.50  0.00 0.12455 
4  2.50  0.00 10.00  0.00 32.50  0.00 40.00  0.00 -0.07132 
4  2.50  0.00 10.00  0.00 40.00  0.00 47.50  0.00 -0.03621 
4  2.50  0.00 12.50  0.00 37.50  0.00 47.50  0.00 -0.08155 
4  2.50  0.00 12.50  0.00 47.50  0.00 57.50  0.00 -0.03854 
4  2.50  0.00 12.50  0.00 57.50  0.00 40.00  0.00 0.09061 
4  2.50  0.00 12.50  0.00 40.00  0.00 50.00  0.00 -0.06394 
4  2.50  0.00 12.50  0.00 50.00  0.00 60.00  0.00 -0.03566 
4  2.50  0.00 12.50  0.00 60.00  0.00 42.50  0.00 0.08075 
4  2.50  0.00 12.50  0.00 42.50  0.00 52.50  0.00 -0.05577 
4  2.50  0.00 12.50  0.00 52.50  0.00 62.50  0.00 -0.03444 
4  2.50  0.00 12.50  0.00 62.50  0.00 45.00  0.00 0.07502 
4  2.50  0.00 12.50  0.00 45.00  0.00 55.00  0.00 -0.04963 
4  2.50  0.00 12.50  0.00 55.00  0.00 65.00  0.00 -0.03264 
4  5.00  0.00 7.50  0.00 27.50  0.00 30.00  0.00 -0.03025 
4  5.00  0.00 7.50  0.00 10.00  0.00 12.50  0.00 -2.48093 
4  5.00  0.00 7.50  0.00 12.50  0.00 15.00  0.00 -0.49722 
4  5.00  0.00 7.50  0.00 15.00  0.00 17.50  0.00 -0.24289 
4  5.00  0.00 7.50  0.00 17.50  0.00 20.00  0.00 -0.12003 
4  5.00  0.00 7.50  0.00 20.00  0.00 22.50  0.00 -0.07894 
4  5.00  0.00 7.50  0.00 22.50  0.00 25.00  0.00 -0.05810 
4  5.00  0.00 7.50  0.00 25.00  0.00 27.50  0.00 -0.04112 
4  5.00  0.00 10.00  0.00 20.00  0.00 25.00  0.00 -0.31158 
4  5.00  0.00 10.00  0.00 25.00  0.00 30.00  0.00 -0.15103 
4  5.00  0.00 10.00  0.00 30.00  0.00 35.00  0.00 -0.06843 
4  5.00  0.00 10.00  0.00 35.00  0.00 40.00  0.00 -0.02990 
4  5.00  0.00 10.00  0.00 40.00  0.00 22.50  0.00 0.37653 
4  5.00  0.00 10.00  0.00 22.50  0.00 27.50  0.00 -0.21333 
4  5.00  0.00 10.00  0.00 27.50  0.00 32.50  0.00 -0.10696 
4  5.00  0.00 10.00  0.00 32.50  0.00 37.50  0.00 -0.04004 
4  5.00  0.00 10.00  0.00 37.50  0.00 42.50  0.00 -0.02432 
4  5.00  0.00 12.50  0.00 30.00  0.00 37.50  0.00 -0.15312 
4  5.00  0.00 12.50  0.00 37.50  0.00 45.00  0.00 -0.05311 
4  5.00  0.00 12.50  0.00 45.00  0.00 52.50  0.00 -0.03272 
4  5.00  0.00 12.50  0.00 52.50  0.00 32.50  0.00 0.16045 
4  5.00  0.00 12.50  0.00 32.50  0.00 40.00  0.00 -0.09775 
4  5.00  0.00 12.50  0.00 40.00  0.00 47.50  0.00 -0.04233 
4  5.00  0.00 12.50  0.00 47.50  0.00 55.00  0.00 -0.02656 
4  5.00  0.00 12.50  0.00 55.00  0.00 35.00  0.00 0.12355 
4  5.00  0.00 12.50  0.00 35.00  0.00 42.50  0.00 -0.07119 
4  5.00  0.00 12.50  0.00 42.50  0.00 50.00  0.00 -0.03542 
4  5.00  0.00 15.00  0.00 40.00  0.00 50.00  0.00 -0.07842 
4  5.00  0.00 15.00  0.00 50.00  0.00 60.00  0.00 -0.04201 
4  5.00  0.00 15.00  0.00 60.00  0.00 42.50  0.00 0.09556 
4  5.00  0.00 15.00  0.00 42.50  0.00 52.50  0.00 -0.06616 
4  5.00  0.00 15.00  0.00 52.50  0.00 62.50  0.00 -0.03866 
4  5.00  0.00 15.00  0.00 62.50  0.00 45.00  0.00 0.08587 
4  5.00  0.00 15.00  0.00 45.00  0.00 55.00  0.00 -0.05727 
4  5.00  0.00 15.00  0.00 55.00  0.00 65.00  0.00 -0.03569 
4  5.00  0.00 15.00  0.00 65.00  0.00 47.50  0.00 0.07509 
4  5.00  0.00 15.00  0.00 47.50  0.00 57.50  0.00 -0.04947 
4  5.00  0.00 15.00  0.00 57.50  0.00 67.50  0.00 -0.03291 
4  7.50  0.00 10.00  0.00 30.00  0.00 32.50  0.00 -0.02237 
4  7.50  0.00 10.00  0.00 12.50  0.00 15.00  0.00 -1.67821 
