20230619.dat
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  0.00  0.00 5.00  0.00 10.00  0.00 15.00  0.00 -7.66394 
4  0.00  0.00 5.00  0.00 15.00  0.00 20.00  0.00 -0.79287 
4  0.00  0.00 5.00  0.00 20.00  0.00 25.00  0.00 -0.16554 
4  0.00  0.00 5.00  0.00 25.00  0.00 30.00  0.00 -0.04836 
4  0.00  0.00 5.00  0.00 30.00  0.00 35.00  0.00 -0.02040 
4  0.00  0.00 5.00  0.00 35.00  0.00 40.00  0.00 -0.01445 
4  0.00  0.00 5.00  0.00 40.00  0.00 45.00  0.00 -0.00708 
4  0.00  0.00 5.00  0.00 45.00  0.00 50.00  0.00 -0.00637 
4  0.00  0.00 10.00  0.00 30.00  0.00 40.00  0.00 -0.10706 
4  0.00  0.00 10.00  0.00 40.00  0.00 50.00  0.00 -0.03905 
4  0.00  0.00 10.00  0.00 50.00  0.00 60.00  0.00 -0.02502 
4  0.00  0.00 10.00  0.00 60.00  0.00 70.00  0.00 -0.01061 
4  0.00  0.00 10.00  0.00 70.00  0.00 35.00  0.00 0.11694 
4  0.00  0.00 10.00  0.00 35.00  0.00 45.00  0.00 -0.06140 
4  0.00  0.00 10.00  0.00 45.00  0.00 55.00  0.00 -0.03337 
4  0.00  0.00 10.00  0.00 55.00  0.00 65.00  0.00 -0.01782 
4  0.00  0.00 10.00  0.00 65.00  0.00 75.00  0.00 -0.00493 
4  0.00  0.00 15.00  0.00 50.00  0.00 65.00  0.00 -0.06841 
4  0.00  0.00 15.00  0.00 65.00  0.00 80.00  0.00 -0.02042 
4  0.00  0.00 15.00  0.00 80.00  0.00 95.00  0.00 -0.00340 
4  0.00  0.00 15.00  0.00 95.00  0.00 55.00  0.00 0.06048 
4  0.00  0.00 15.00  0.00 55.00  0.00 70.00  0.00 -0.04348 
4  0.00  0.00 15.00  0.00 70.00  0.00 85.00  0.00 -0.01134 
4  0.00  0.00 15.00  0.00 85.00  0.00 100.00  0.00 -0.00945 
4  0.00  0.00 15.00  0.00 100.00  0.00 60.00  0.00 0.04008 
4  0.00  0.00 15.00  0.00 60.00  0.00 75.00  0.00 -0.02571 
4  0.00  0.00 15.00  0.00 75.00  0.00 90.00  0.00 -0.00605 
4  0.00  0.00 20.00  0.00 70.00  0.00 90.00  0.00 -0.01848 
4  0.00  0.00 20.00  0.00 90.00  0.00 110.00  0.00 0.00154 
4  0.00  0.00 20.00  0.00 110.00  0.00 75.00  0.00 0.00616 
4  0.00  0.00 20.00  0.00 75.00  0.00 95.00  0.00 -0.01592 
4  0.00  0.00 20.00  0.00 95.00  0.00 115.00  0.00 -0.01130 
4  0.00  0.00 20.00  0.00 115.00  0.00 80.00  0.00 0.02362 
4  0.00  0.00 20.00  0.00 80.00  0.00 100.00  0.00 -0.01541 
4  0.00  0.00 20.00  0.00 100.00  0.00 120.00  0.00 -0.01130 
4  0.00  0.00 20.00  0.00 120.00  0.00 85.00  0.00 0.02311 
4  0.00  0.00 20.00  0.00 85.00  0.00 105.00  0.00 -0.01285 
4  0.00  0.00 20.00  0.00 105.00  0.00 125.00  0.00 0.00000 
4  5.00  0.00 10.00  0.00 50.00  0.00 55.00  0.00 -0.00665 
4  5.00  0.00 10.00  0.00 15.00  0.00 20.00  0.00 -7.14736 
4  5.00  0.00 10.00  0.00 20.00  0.00 25.00  0.00 -0.74093 
4  5.00  0.00 10.00  0.00 25.00  0.00 30.00  0.00 -0.19184 
4  5.00  0.00 10.00  0.00 30.00  0.00 35.00  0.00 -0.04465 
4  5.00  0.00 10.00  0.00 35.00  0.00 40.00  0.00 -0.02750 
4  5.00  0.00 10.00  0.00 40.00  0.00 45.00  0.00 -0.01183 
4  5.00  0.00 10.00  0.00 45.00  0.00 50.00  0.00 -0.01384 
4  5.00  0.00 15.00  0.00 35.00  0.00 45.00  0.00 -0.14484 
4  5.00  0.00 15.00  0.00 45.00  0.00 55.00  0.00 -0.06511 
4  5.00  0.00 15.00  0.00 55.00  0.00 65.00  0.00 -0.03005 
4  5.00  0.00 15.00  0.00 65.00  0.00 75.00  0.00 -0.01037 
4  5.00  0.00 15.00  0.00 75.00  0.00 40.00  0.00 0.14631 
4  5.00  0.00 15.00  0.00 40.00  0.00 50.00  0.00 -0.07869 
4  5.00  0.00 15.00  0.00 50.00  0.00 60.00  0.00 -0.04759 
4  5.00  0.00 15.00  0.00 60.00  0.00 70.00  0.00 -0.01503 
4  5.00  0.00 15.00  0.00 70.00  0.00 80.00  0.00 -0.01073 
4  5.00  0.00 20.00  0.00 55.00  0.00 70.00  0.00 -0.06179 
4  5.00  0.00 20.00  0.00 70.00  0.00 85.00  0.00 -0.01879 
4  5.00  0.00 20.00  0.00 85.00  0.00 100.00  0.00 -0.01039 
4  5.00  0.00 20.00  0.00 100.00  0.00 60.00  0.00 0.05240 
4  5.00  0.00 20.00  0.00 60.00  0.00 75.00  0.00 -0.03510 
4  5.00  0.00 20.00  0.00 75.00  0.00 90.00  0.00 -0.00593 
4  5.00  0.00 20.00  0.00 90.00  0.00 105.00  0.00 -0.00940 
4  5.00  0.00 20.00  0.00 105.00  0.00 65.00  0.00 0.03956 
4  5.00  0.00 20.00  0.00 65.00  0.00 80.00  0.00 -0.02373 
