label,x,y,z,buried
1 1,613087.0,6651252.0,130.94353,0
1 2,613088.0221052632,6651252.072631579,130.93973,0
1 3,613089.0442105263,6651252.145263158,130.92845,0
1 4,613090.0663157895,6651252.217894737,130.93643,0
1 5,613091.0884210527,6651252.290526316,130.964,0
1 6,613092.1105263158,6651252.363157894,130.99196,0
1 7,613093.132631579,6651252.435789473,131.01555,0
1 8,613094.1547368421,6651252.508421052,131.0435,0
1 9,613095.1768421052,6651252.581052632,131.05403,0
1 10,613096.1989473684,6651252.653684211,131.05986,0
1 11,613097.2210526316,6651252.72631579,131.07826,0
1 12,613098.2431578947,6651252.798947369,131.10919,0
1 13,613099.2652631579,6651252.871578948,131.13701,0
1 14,613100.2873684211,6651252.9442105265,131.1577,0
1 15,613101.3094736842,6651253.016842105,131.17929,0
1 16,613102.3315789474,6651253.089473684,131.19969,0
1 17,613103.3536842106,6651253.162105263,131.2407,0
1 18,613104.3757894736,6651253.234736842,131.29036,0
1 19,613105.3978947368,6651253.307368421,131.31248,0
1 20,613106.42,6651253.38,131.34409,0
1 21,613107.4421052631,6651253.452631579,131.39265,0
1 22,613108.4642105263,6651253.525263158,131.45235,0
1 23,613109.4863157895,6651253.597894737,131.51291,0
1 24,613110.5084210526,6651253.670526315,131.5576,0
1 25,613111.5305263158,6651253.743157895,131.60172,0
1 26,613112.552631579,6651253.815789474,131.64345,0
1 27,613113.5747368421,6651253.888421053,131.68544,0
1 28,613114.5968421053,6651253.961052632,131.7284,0
1 29,613115.6189473685,6651254.033684211,131.74904,0
1 30,613116.6410526315,6651254.10631579,131.76953,0
1 31,613117.6631578947,6651254.178947369,131.7834,0
1 32,613118.6852631579,6651254.2515789475,131.7859,0
1 33,613119.707368421,6651254.324210526,131.77513,0
1 34,613120.7294736842,6651254.396842105,131.77962,0
1 35,613121.7515789474,6651254.469473684,131.78325,0
1 36,613122.7736842105,6651254.542105263,131.82347,0
1 37,613123.7957894737,6651254.614736842,131.82492,0
1 38,613124.8178947369,6651254.687368421,131.83224,0
1 39,613125.84,6651254.76,131.85266,0
1 40,613126.8621052632,6651254.832631579,131.87021,0
1 41,613127.8842105264,6651254.9052631585,131.89098,0
