Elektrode nr ,X,Y,Z
1,613183.3,6651210.8,130.908
2,613180.7115384616,6651212.553846153,130.9405
3,613178.1230769231,6651214.307692308,130.97299999999998
4,613175.5346153846,6651216.061538462,131.00549999999998
5,613172.9461538462,6651217.815384615,131.03799999999998
6,613170.3576923077,6651219.569230769,131.07049999999998
7,613167.7692307692,6651221.323076923,131.10299999999998
8,613165.1807692308,6651223.076923077,131.13549999999998
9,613162.5923076924,6651224.830769231,131.16799999999998
10,613160.0038461538,6651226.584615384,131.20049999999998
11,613157.4153846154,6651228.338461539,131.23299999999998
12,613154.826923077,6651230.092307692,131.26549999999997
13,613152.2384615385,6651231.846153846,131.29799999999997
14,613149.65,6651233.6,131.3305
15,613147.0615384616,6651235.353846154,131.363
16,613144.473076923,6651237.107692308,131.3955
17,613141.8846153846,6651238.861538461,131.428
18,613139.2961538462,6651240.615384616,131.4605
19,613136.7076923077,6651242.36923077,131.493
20,613134.1192307692,6651244.123076923,131.5255
21,613131.5307692308,6651245.876923077,131.558
22,613128.9423076924,6651247.630769231,131.5905
23,613126.3538461538,6651249.384615385,131.623
24,613123.7653846154,6651251.138461539,131.6555
25,613121.176923077,6651252.892307692,131.688
26,613118.5884615384,6651254.646153847,131.7205
27,613116.0,6651256.4,131.753
28,613116.4666666667,6651256.516666667,131.75516666666664
29,613116.9333333333,6651256.633333334,131.75733333333332
30,613117.4,6651256.75,131.7595
31,613117.8666666667,6651256.866666667,131.76166666666666
32,613118.3333333334,6651256.983333333,131.7638333333333
33,613118.8,6651257.100000001,131.766
34,613119.2666666667,6651257.216666667,131.76816666666667
35,613119.7333333334,6651257.333333334,131.77033333333333
36,613120.2,6651257.45,131.77249999999998
37,613120.6666666666,6651257.566666666,131.77466666666666
38,613121.1333333333,6651257.683333334,131.77683333333334
39,613121.6,6651257.8,131.779
40,613122.0666666667,6651257.916666667,131.78116666666665
41,613122.5333333333,6651258.033333333,131.78333333333333
42,613123.0,6651258.15,131.7855
43,613123.4666666667,6651258.266666667,131.78766666666667
44,613123.9333333333,6651258.383333334,131.78983333333332
45,613124.4,6651258.5,131.792
46,613126.1153846154,6651258.5,131.82292307692308
47,613127.8307692307,6651258.5,131.85384615384615
48,613129.5461538462,6651258.5,131.88476923076922
49,613131.2615384615,6651258.5,131.9156923076923
50,613132.9769230769,6651258.5,131.94661538461537
51,613134.6923076923,6651258.5,131.97753846153844
52,613136.4076923077,6651258.5,132.00846153846155
53,613138.1230769231,6651258.5,132.03938461538462
54,613139.8384615384,6651258.5,132.0703076923077
55,613141.5538461538,6651258.5,132.10123076923077
56,613143.2692307692,6651258.5,132.13215384615384
57,613144.9846153846,6651258.5,132.16307692307691
58,613146.7,6651258.5,132.194
59,613147.7124999999,6651258.5125,132.213125
60,613148.725,6651258.525,132.23225
61,613149.7374999999,6651258.5375,132.251375
62,613150.75,6651258.55,132.2705
63,613151.7625,6651258.5625,132.289625
64,613152.775,6651258.575,132.30875
65,613153.7875,6651258.5875,132.327875
66,613154.8,6651258.6,132.34699999999998
67,613155.8125,6651258.6125,132.36612499999998
68,613156.825,6651258.625,132.38524999999998
69,613157.8375,6651258.6375,132.404375
70,613158.85,6651258.65,132.4235
71,613159.8625,6651258.662500001,132.442625
72,613160.875,6651258.675,132.46175
73,613161.8875000001,6651258.6875,132.480875
74,613162.9,6651258.7,132.5
75,613163.9666666667,6651258.7,132.57633333333334
76,613165.0333333333,6651258.7,132.65266666666668
77,613166.1000000001,6651258.7,132.72899999999998
78,613167.1666666667,6651258.7,132.80533333333332
79,613168.2333333334,6651258.7,132.88166666666666
80,613169.3,6651258.7,132.958
81,613170.3500000001,6651258.800000001,132.79399999999998
82,613171.4,6651258.9,132.63
83,613172.3071428571,6651258.9,132.63864285714286
84,613173.2142857143,6651258.9,132.64728571428572
85,613174.1214285714,6651258.9,132.65592857142857
86,613175.0285714286,6651258.9,132.66457142857143
87,613175.9357142857,6651258.9,132.6732142857143
88,613176.8428571429,6651258.9,132.68185714285715
89,613177.75,6651258.9,132.6905
90,613178.6571428571,6651258.9,132.69914285714285
91,613179.5642857143,6651258.9,132.7077857142857
92,613180.4714285714,6651258.9,132.71642857142857
93,613181.3785714286,6651258.9,132.72507142857143
94,613182.2857142857,6651258.9,132.73371428571429
95,613183.1928571429,6651258.9,132.74235714285714
96,613184.1,6651258.9,132.751
