label,X,Y,Z
1 1,613047.4,6651240.3,130.46277
1 2,613052.4778,6651241.341,130.746
1 3,613057.5556,6651242.381,130.92828
1 4,613062.6333,6651243.422,130.81648
1 5,613067.7111,6651244.463,131.05254
1 6,613072.7889,6651245.504,131.06287
1 7,613077.8667,6651246.544,131.0292
1 8,613082.9444,6651247.585,131.08012
1 9,613088.0222,6651248.626,131.11328
1 10,613093.1,6651249.667,131.1129
1 11,613098.1778,6651250.707,131.16827
1 12,613103.2556,6651251.748,131.2786
1 13,613108.3333,6651252.789,131.47328
1 14,613113.4111,6651253.83,131.68544
1 15,613118.4889,6651254.87,131.7859
1 16,613123.5667,6651255.911,131.74953
1 17,613128.6444,6651256.952,131.78636
1 18,613133.7222,6651257.993,131.79236
1 19,613138.8,6651259.033,131.87416
1 20,613143.8778,6651260.074,132.11584
1 21,613148.9556,6651261.115,132.25429
1 22,613154.0333,6651262.156,132.37485
1 23,613159.1111,6651263.196,132.38675
1 24,613164.1889,6651264.237,132.70847
1 25,613169.2667,6651265.278,133.3918
1 26,613174.3444,6651266.319,134.0302
1 27,613179.4222,6651267.359,134.22226
1 28,613184.5,6651268.4,134.48073
1 29,613187.875,6651269.35,134.29558
1 30,613191.25,6651270.3,134.0528
1 31,613194.625,6651271.25,133.70999
1 32,613198,6651272.2,133.31624
1 33,613202.72,6651273.52,133.2556
1 34,613207.44,6651274.84,133.28813
1 35,613212.16,6651276.16,133.35635
1 36,613216.88,6651277.48,133.52725
1 37,613221.6,6651278.8,133.59538
1 38,613226.6727,6651279.773,133.62373
1 39,613231.7455,6651280.745,133.65106
1 40,613236.8182,6651281.718,133.68857
1 41,613241.8909,6651282.691,133.88918
1 42,613246.9636,6651283.664,134.03221
1 43,613252.0364,6651284.636,134.19737
1 44,613257.1091,6651285.609,134.327
1 45,613262.1818,6651286.582,134.3368
1 46,613267.2545,6651287.555,134.4944
1 47,613272.3273,6651288.527,134.68661
1 48,613277.4,6651289.5,135.20883
2 1,612929.1,6651287.2,122.72821
2 2,612934.65,6651284.75,123.18122
2 3,612940.2,6651282.3,123.35349
2 4,612945.75,6651279.85,123.748726
2 5,612951.3,6651277.4,124.062904
2 6,612956.16,6651275.72,124.3992
2 7,612961.02,6651274.04,125.13494
2 8,612965.88,6651272.36,125.89547
2 9,612970.74,6651270.68,126.379555
2 10,612975.6,6651269,126.60652
2 11,612979.7,6651267,126.7525
2 12,612984.6,6651265.3,127.12257
2 13,612989.5,6651263.6,127.400826
2 14,612993.8375,6651261.25,127.97858
2 15,612998.175,6651258.9,128.39758
2 16,613002.5125,6651256.55,128.8889
2 17,613006.85,6651254.2,129.04678
2 18,613011.1875,6651251.85,129.40497
2 19,613015.525,6651249.5,130.03094
2 20,613019.8625,6651247.15,130.52138
2 21,613024.2,6651244.8,130.67662
2 22,613028.5667,6651242.5,130.69627
2 23,613032.9333,6651240.2,130.54262
2 24,613037.3,6651237.9,130.50423
2 25,613041.0933,6651235.867,130.7606
2 26,613044.8867,6651233.833,130.91374
2 27,613048.68,6651231.8,130.98961
2 28,613052.4733,6651229.767,131.13596
2 29,613056.2667,6651227.733,131.2414
2 30,613060.06,6651225.7,131.44774
2 31,613063.8533,6651223.667,131.58717
2 32,613067.6467,6651221.633,131.76607
2 33,613071.44,6651219.6,131.94565
2 34,613075.2333,6651217.567,132.07048
2 35,613079.0267,6651215.533,132.2278
2 36,613082.82,6651213.5,132.29607
2 37,613086.6133,6651211.467,132.41013
2 38,613090.4067,6651209.433,132.67392
2 39,613094.2,6651207.4,132.85318
2 40,613100.1571,6651204.514,132.99614
2 41,613106.1143,6651201.629,133.14018
2 42,613112.0714,6651198.743,133.26894
2 43,613118.0286,6651195.857,133.41602
2 44,613123.9857,6651192.971,133.77559
2 45,613129.9429,6651190.086,134.1256
2 46,613135.9,6651187.2,134.51501
2 47,613142.85,6651184.1,134.69398
2 48,613149.8,6651181,135.1033
