Elektrode nr ,X,Y,Z
1,612864.0,6651308.0,121.162
2,612866.9230769231,6651303.692307692,121.76438461538461
3,612869.8461538461,6651299.384615385,122.36676923076924
4,612872.7692307692,6651295.076923077,122.96915384615384
5,612875.6923076923,6651290.769230769,123.57153846153847
6,612878.6153846154,6651286.461538462,124.17392307692307
7,612881.5384615385,6651282.153846154,124.7763076923077
8,612884.4615384615,6651277.846153846,125.3786923076923
9,612887.3846153846,6651273.538461538,125.98107692307693
10,612890.3076923077,6651269.230769231,126.58346153846153
11,612893.2307692308,6651264.923076923,127.18584615384616
12,612896.1538461539,6651260.615384615,127.78823076923076
13,612899.0769230769,6651256.307692308,128.3906153846154
14,612902.0,6651252.0,128.993
15,612904.5714285715,6651247.642857143,129.42671428571427
16,612907.1428571428,6651243.285714285,129.86042857142857
17,612909.7142857143,6651238.928571428,130.29414285714284
18,612912.2857142857,6651234.571428572,130.72785714285715
19,612914.8571428572,6651230.214285715,131.16157142857142
20,612917.4285714285,6651225.857142857,131.59528571428572
21,612920.0,6651221.5,132.029
22,612922.5714285715,6651217.142857143,132.46271428571427
23,612925.1428571428,6651212.785714285,132.89642857142857
24,612927.7142857143,6651208.428571428,133.33014285714285
25,612930.2857142857,6651204.071428572,133.76385714285715
26,612932.8571428572,6651199.714285715,134.19757142857142
27,612935.4285714285,6651195.357142857,134.63128571428572
28,612938.0,6651191.0,135.065
29,612940.2,6651186.55,135.4778
30,612942.4,6651182.1,135.8906
31,612944.6,6651177.65,136.3034
32,612946.8,6651173.2,136.7162
33,612949.0,6651168.75,137.129
34,612951.2,6651164.3,137.5418
35,612953.4,6651159.85,137.9546
36,612955.6,6651155.4,138.3674
37,612957.8,6651150.95,138.7802
38,612960.0,6651146.5,139.19299999999998
39,612962.2,6651142.05,139.6058
40,612964.4,6651137.6,140.0186
41,612966.6,6651133.15,140.4314
42,612968.8,6651128.7,140.8442
43,612971.0,6651124.25,141.257
44,612973.2,6651119.8,141.6698
45,612975.4,6651115.35,142.08259999999999
46,612977.6,6651110.9,142.4954
47,612979.8,6651106.45,142.9082
48,612982.0,6651102.0,143.321
49,612984.25,6651097.25,143.7275
50,612986.5,6651092.5,144.13400000000001
51,612988.75,6651087.75,144.5405
52,612991.0,6651083.0,144.947
53,612993.25,6651078.25,145.3535
54,612995.5,6651073.5,145.76
55,612997.75,6651068.75,146.1665
56,613000.0,6651064.0,146.573
57,613002.125,6651059.5,146.743625
58,613004.25,6651055.0,146.91425
59,613006.375,6651050.5,147.084875
60,613008.5,6651046.0,147.25549999999998
61,613010.625,6651041.5,147.42612499999998
62,613012.75,6651037.0,147.59675
63,613014.875,6651032.5,147.767375
64,613017.0,6651028.0,147.938
65,613019.0588235294,6651023.470588235,147.9445294117647
66,613021.1176470588,6651018.94117647,147.9510588235294
67,613023.1764705882,6651014.411764706,147.9575882352941
68,613025.2352941176,6651009.882352941,147.96411764705883
69,613027.2941176471,6651005.352941177,147.97064705882352
70,613029.3529411765,6651000.823529412,147.97717647058823
71,613031.4117647059,6650996.294117647,147.98370588235295
72,613033.4705882353,6650991.764705882,147.99023529411764
73,613035.5294117647,6650987.235294118,147.99676470588236
74,613037.5882352941,6650982.705882353,148.00329411764704
75,613039.6470588235,6650978.176470588,148.00982352941176
76,613041.7058823529,6650973.647058823,148.01635294117648
77,613043.7647058824,6650969.117647059,148.02288235294117
78,613045.8235294118,6650964.588235294,148.02941176470588
79,613047.8823529412,6650960.05882353,148.0359411764706
80,613049.9411764706,6650955.529411765,148.0424705882353
81,613052.0,6650951.0,148.049
82,613054.0833333334,6650946.416666667,148.19708333333335
83,613056.1666666666,6650941.833333333,148.34516666666667
84,613058.25,6650937.25,148.49325
85,613060.3333333334,6650932.666666667,148.64133333333334
86,613062.4166666666,6650928.083333333,148.78941666666668
87,613064.5,6650923.5,148.9375
88,613066.5833333334,6650918.916666667,149.08558333333332
89,613068.6666666666,6650914.333333333,149.23366666666666
90,613070.75,6650909.75,149.38175
91,613072.8333333334,6650905.166666667,149.52983333333333
92,613074.9166666666,6650900.583333333,149.67791666666665
93,613077.0,6650896.0,149.826
94,613080.0,6650890.666666667,149.37
95,613083.0,6650885.333333333,148.914
96,613086.0,6650880.0,148.458
