Elektrode nr ,X,Y,Z
1,612929.1,6651287.2,122.92
2,612934.65,6651284.75,123.20625
3,612940.2,6651282.300000001,123.4925
4,612945.75,6651279.850000001,123.77875
5,612951.3,6651277.4,124.065
6,612956.16,6651275.720000001,124.569
7,612961.02,6651274.04,125.073
8,612965.88,6651272.36,125.577
9,612970.74,6651270.68,126.08099999999999
10,612975.6,6651269.0,126.585
11,612979.7,66511267.0,126.753
12,612984.6,36581265.3,127.09100000000001
13,612989.5,6651263.6,127.429
14,612993.8375,6651261.25,127.839125
15,612998.175,6651258.899999999,128.24925000000002
16,613002.5125,6651256.55,128.659375
17,613006.85,6651254.199999999,129.0695
18,613011.1875,6651251.85,129.479625
19,613015.5249999999,6651249.5,129.88975
20,613019.8624999999,6651247.149999999,130.29987500000001
21,613024.2,6651244.8,130.71
22,613028.5666666667,6651242.5,130.68233333333333
23,613032.9333333333,6651240.2,130.65466666666669
24,613037.3,6651237.9,130.627
25,613041.0933333334,6651235.866666667,130.79306666666668
26,613044.8866666667,6651233.833333334,130.95913333333334
27,613048.68,6651231.800000001,131.1252
28,613052.4733333334,6651229.766666667,131.29126666666667
29,613056.2666666667,6651227.733333333,131.45733333333334
30,613060.06,6651225.7,131.6234
31,613063.8533333334,6651223.666666667,131.78946666666667
32,613067.6466666666,6651221.633333334,131.95553333333334
33,613071.44,6651219.600000001,132.1216
34,613075.2333333333,6651217.566666667,132.28766666666667
35,613079.0266666666,6651215.533333334,132.45373333333333
36,613082.82,6651213.5,132.6198
37,613086.6133333333,6651211.466666667,132.78586666666666
38,613090.4066666666,6651209.433333334,132.95193333333333
39,613094.2,6651207.4,133.118
40,613100.1571428571,5796061.657142857,133.29957142857143
41,613106.1142857142,4940915.914285715,133.48114285714286
42,613112.0714285714,4085770.1714285715,133.6627142857143
43,613118.0285714286,3230624.4285714286,133.84428571428572
44,613123.9857142858,2375478.685714286,134.02585714285715
45,613129.9428571429,1520332.9428571425,134.20742857142858
46,613135.9,665187.2,134.389
47,613142.8500000001,3658184.0999999996,134.71
48,613149.8,6651181.0,135.031
