Elektrode nr ,X,Y,Z
0.0,613066.5,6651399.2,127.98419
1.0,613067.4023255814,6651399.679069768,128.03325
2.0,613068.3046511628,6651400.158139535,127.97661
3.0,613069.2069767442,6651400.637209303,127.999405
4.0,613070.1093023256,6651401.11627907,128.03828
5.0,613071.0116279069,6651401.595348838,127.99249
6.0,613071.9139534883,6651402.074418604,128.03131
7.0,613072.8162790698,6651402.553488372,128.07263
8.0,613073.7186046512,6651403.032558139,128.06538
9.0,613074.6209302326,6651403.511627907,128.10928
10.0,613075.523255814,6651403.990697674,128.0807
11.0,613076.4255813954,6651404.469767442,128.12782
12.0,613077.3279069768,6651404.9488372095,128.16293
13.0,613078.2302325581,6651405.427906977,128.14546
14.0,613079.1325581395,6651405.9069767445,128.19592
15.0,613080.0348837209,6651406.386046512,128.1744
16.0,613080.9372093023,6651406.86511628,128.1744
17.0,613081.8395348837,6651407.344186046,128.2129
18.0,613082.7418604651,6651407.823255814,128.19662
19.0,613083.6441860466,6651408.302325581,128.24142
20.0,613084.546511628,6651408.781395349,128.19952
21.0,613085.4488372094,6651409.260465116,128.24443
22.0,613086.3511627907,6651409.739534884,128.2902
23.0,613087.2534883721,6651410.218604651,128.24902
24.0,613088.1558139535,6651410.697674419,128.28262
25.0,613089.0581395349,6651411.176744186,128.26129
26.0,613089.9604651163,6651411.655813954,128.29749
27.0,613090.8627906977,6651412.13488372,128.33736
28.0,613091.7651162791,6651412.613953488,128.30702
29.0,613092.6674418605,6651413.0930232555,128.34807
30.0,613093.569767442,6651413.572093023,128.29181
31.0,613094.4720930232,6651414.0511627905,128.3153
32.0,613095.3744186047,6651414.530232558,128.34433
33.0,613096.2767441861,6651415.009302326,128.29184
34.0,613097.1790697675,6651415.488372093,128.29184
35.0,613098.0813953489,6651415.967441861,128.22253
36.0,613098.9837209303,6651416.446511628,128.21954
37.0,613099.8860465117,6651416.925581396,128.20915
38.0,613100.7883720931,6651417.404651162,128.13501
39.0,613101.6906976744,6651417.88372093,128.11954
40.0,613102.5930232558,6651418.362790697,128.03725
41.0,613103.4953488372,6651418.841860465,128.00919
42.0,613104.3976744186,6651419.320930232,127.99962
43.0,613105.3,6651419.8,127.9467
44.0,613106.3250000001,6651420.275,127.935936
45.0,613107.3500000001,6651420.75,127.935715
46.0,613108.375,6651421.225,127.919075
47.0,613109.4,6651421.7,127.96583
48.0,613110.2791666667,6651422.135416667,127.97674
49.0,613111.1583333333,6651422.570833334,128.01085
50.0,613112.0375,6651423.006250001,128.06921
51.0,613112.9166666667,6651423.441666666,128.09793
52.0,613113.7958333334,6651423.877083333,128.14781
53.0,613114.675,6651424.3125,128.18906
54.0,613115.5541666667,6651424.747916667,128.19821
55.0,613116.4333333333,6651425.183333334,128.25745
56.0,613117.3125,6651425.61875,128.25745
57.0,613118.1916666667,6651426.054166667,128.28966
58.0,613119.0708333333,6651426.489583333,128.35713
59.0,613119.95,6651426.925,128.41867
60.0,613120.8291666667,6651427.360416667,128.4547
61.0,613121.7083333334,6651427.795833333,128.51988
62.0,613122.5875,6651428.23125,128.54059
63.0,613123.4666666667,6651428.666666667,128.59235
64.0,613124.3458333333,6651429.102083334,128.649
65.0,613125.225,6651429.5375,128.6713
66.0,613126.1041666666,6651429.972916666,128.71492
67.0,613126.9833333334,6651430.408333333,128.71492
68.0,613127.8625,6651430.84375,128.7356
69.0,613128.7416666667,6651431.279166667,128.78932
70.0,613129.6208333333,6651431.714583334,128.85052
71.0,613130.5,6651432.15,128.8947
72.0,613131.3791666667,6651432.585416666,128.94403
73.0,613132.2583333333,6651433.020833333,129.01942
74.0,613133.1375,6651433.45625,129.10541
75.0,613134.0166666666,6651433.891666667,129.19081
76.0,613134.8958333334,6651434.327083333,129.27306
77.0,613135.775,6651434.7625,129.3397
78.0,613136.6541666667,6651435.197916666,129.38733
79.0,613137.5333333333,6651435.633333333,129.39453
80.0,613138.4125,6651436.06875,129.4458
81.0,613139.2916666666,6651436.504166666,129.48557
82.0,613140.1708333333,6651436.939583333,129.54666
83.0,613141.05,6651437.375,129.58713
84.0,613141.9291666667,6651437.810416667,129.63019
85.0,613142.8083333333,6651438.245833333,129.6921
86.0,613143.6875,6651438.681249999,129.7449
87.0,613144.5666666667,6651439.116666666,129.78351
88.0,613145.4458333333,6651439.552083333,129.83192
89.0,613146.325,6651439.9875,129.84804
90.0,613147.2041666666,6651440.422916667,129.86412
91.0,613148.0833333333,6651440.858333333,129.89561
92.0,613148.9625,6651441.293749999,129.90384
93.0,613149.8416666667,6651441.729166666,129.94948
94.0,613150.7208333333,6651442.164583333,129.9829
95.0,613151.6,6651442.6,130.0386
