Elektrode nr ,X,Y,Z
0.0,612854.8,6651333.8,120.68654
1.0,612861.15,6651334.975,119.575195
2.0,612867.5,6651336.15,119.60066
3.0,612873.85,6651337.325,119.868324
4.0,612880.2,6651338.5,119.9166
5.0,612885.11,6651339.385,120.29119
6.0,612890.02,6651340.27,120.76741
7.0,612894.9299999999,6651341.155,121.176796
8.0,612899.84,6651342.04,121.569756
9.0,612904.75,6651342.925,121.81556
10.0,612909.6599999999,6651343.8100000005,122.09148
11.0,612914.57,6651344.695,122.436455
12.0,612919.48,6651345.58,122.7371
13.0,612924.39,6651346.465,122.99258
14.0,612929.3,6651347.35,123.31196
15.0,612934.21,6651348.235,123.53196
16.0,612939.12,6651349.12,123.590866
17.0,612944.03,6651350.005,123.63885
18.0,612948.94,6651350.890000001,123.79446
19.0,612953.85,6651351.775,124.032845
20.0,612958.76,6651352.66,124.35093
21.0,612963.67,6651353.545,124.55175
22.0,612968.5800000001,6651354.43,124.92207
23.0,612973.49,6651355.315,125.09877
24.0,612978.4,6651356.2,125.1483
25.0,612982.7620689656,6651358.482758621,125.22608
26.0,612987.124137931,6651360.765517241,125.37502
27.0,612991.4862068966,6651363.048275862,125.49013
28.0,612995.848275862,6651365.331034483,125.48279
29.0,613000.2103448276,6651367.613793104,125.46795
30.0,613004.5724137932,6651369.8965517245,125.617775
31.0,613008.9344827586,6651372.179310345,126.008606
32.0,613013.2965517242,6651374.462068966,126.2388
33.0,613017.6586206896,6651376.744827586,126.381195
34.0,613022.0206896552,6651379.027586207,126.45673
35.0,613026.3827586207,6651381.310344828,126.59371
36.0,613030.7448275862,6651383.593103449,126.698746
37.0,613035.1068965518,6651385.875862069,126.881874
38.0,613039.4689655172,6651388.15862069,127.00763
39.0,613043.8310344828,6651390.441379311,127.06437
40.0,613048.1931034483,6651392.724137931,127.197136
41.0,613052.5551724138,6651395.006896552,127.43061
42.0,613056.9172413794,6651397.289655172,127.673035
43.0,613061.2793103448,6651399.572413794,127.71756
44.0,613065.6413793104,6651401.855172414,127.82267
45.0,613070.0034482758,6651404.137931035,127.83764
46.0,613074.3655172414,6651406.4206896555,127.90932
47.0,613078.7275862069,6651408.703448276,127.955536
48.0,613083.0896551724,6651410.986206897,128.01308
49.0,613087.451724138,6651413.268965517,128.05649
50.0,613091.8137931034,6651415.551724139,128.07567
51.0,613096.175862069,6651417.834482759,128.09123
52.0,613100.5379310345,6651420.11724138,128.00508
53.0,613104.9,6651422.4,127.84089
54.0,613109.46,6651424.62,127.93035
55.0,613114.02,6651426.84,128.08035
56.0,613118.5800000001,6651429.0600000005,128.2839
57.0,613123.14,6651431.28,128.52547
58.0,613127.7,6651433.5,128.70547
59.0,613132.26,6651435.72,129.04927
60.0,613136.8200000001,6651437.9399999995,129.3986
61.0,613141.38,6651440.16,129.64217
62.0,613145.94,6651442.38,129.83293
63.0,613150.5,6651444.6,130.02315
