Elektrode nr ,X,Y,Z
1,613100.5,6651094.8,138.377
2,613101.3730769231,6651094.265384615,138.3858076923077
3,613102.2461538462,6651093.730769231,138.3946153846154
4,613103.1192307692,6651093.196153846,138.40342307692308
5,613103.9923076923,6651092.661538461,138.41223076923077
6,613104.8653846154,6651092.126923077,138.42103846153847
7,613105.7384615385,6651091.592307692,138.42984615384617
8,613106.6115384615,6651091.057692308,138.43865384615384
9,613107.4846153846,6651090.523076923,138.44746153846154
10,613108.3576923077,6651089.988461538,138.45626923076924
11,613109.2307692308,6651089.453846154,138.46507692307694
12,613110.1038461538,6651088.919230769,138.4738846153846
13,613110.9769230769,6651088.384615385,138.4826923076923
14,613111.85,6651087.85,138.4915
15,613112.723076923,6651087.315384615,138.5003076923077
16,613113.5961538461,6651086.780769231,138.5091153846154
17,613114.4692307692,6651086.246153846,138.51792307692307
18,613115.3423076923,6651085.711538462,138.52673076923077
19,613116.2153846154,6651085.176923078,138.53553846153847
20,613117.0884615384,6651084.642307692,138.54434615384616
21,613117.9615384615,6651084.107692308,138.55315384615383
22,613118.8346153846,6651083.573076923,138.56196153846153
23,613119.7076923077,6651083.038461539,138.57076923076923
24,613120.5807692307,6651082.503846155,138.57957692307693
25,613121.4538461538,6651081.969230769,138.5883846153846
26,613122.3269230769,6651081.434615385,138.5971923076923
27,613123.2,6651080.9,138.606
28,613124.0214285714,6651080.321428572,138.56992857142856
29,613124.8428571428,6651079.742857143,138.53385714285713
30,613125.6642857143,6651079.164285715,138.4977857142857
31,613126.4857142856,6651078.585714286,138.4617142857143
32,613127.3071428571,6651078.007142858,138.42564285714286
33,613128.1285714285,6651077.428571429,138.38957142857143
34,613128.95,6651076.85,138.3535
35,613129.7714285714,6651076.271428571,138.31742857142856
36,613130.5928571428,6651075.692857143,138.28135714285713
37,613131.4142857143,6651075.114285714,138.2452857142857
38,613132.2357142856,6651074.535714285,138.2092142857143
39,613133.0571428571,6651073.957142857,138.17314285714286
40,613133.8785714285,6651073.378571428,138.13707142857143
41,613134.7,6651072.8,138.101
42,613135.4571428571,6651072.171428571,138.14657142857143
43,613136.2142857142,6651071.542857143,138.19214285714284
44,613136.9714285714,6651070.914285715,138.23771428571428
45,613137.7285714286,6651070.285714285,138.2832857142857
46,613138.4857142858,6651069.657142857,138.32885714285715
47,613139.2428571428,6651069.028571429,138.37442857142855
48,613140.0,6651068.4,138.42
49,613140.911111111,6651067.911111112,138.44855555555554
50,613141.8222222222,6651067.422222222,138.4771111111111
51,613142.7333333333,6651066.933333334,138.50566666666666
52,613143.6444444444,6651066.444444445,138.5342222222222
53,613144.5555555555,6651065.955555555,138.56277777777777
54,613145.4666666667,6651065.466666667,138.59133333333332
55,613146.3777777777,6651064.977777778,138.61988888888888
56,613147.2888888889,6651064.488888889,138.64844444444444
57,613148.2,6651064.0,138.677
58,613149.01,6651063.44,138.5913
59,613149.82,6651062.88,138.5056
60,613150.63,6651062.32,138.41989999999998
61,613151.44,6651061.76,138.33419999999998
62,613152.25,6651061.2,138.24849999999998
63,613153.06,6651060.640000001,138.1628
64,613153.87,6651060.08,138.0771
65,613154.68,6651059.5200000005,137.9914
66,613155.49,6651058.96,137.9057
67,613156.3,6651058.4,137.82
68,613157.1793103449,6651057.893103449,137.84196551724136
69,613158.0586206897,6651057.386206897,137.86393103448276
70,613158.9379310345,6651056.879310345,137.88589655172413
71,613159.8172413794,6651056.372413794,137.9078620689655
72,613160.6965517242,6651055.865517242,137.9298275862069
73,613161.575862069,6651055.35862069,137.95179310344827
74,613162.4551724138,6651054.8517241385,137.97375862068964
75,613163.3344827587,6651054.344827587,137.99572413793103
76,613164.2137931035,6651053.837931035,138.0176896551724
77,613165.0931034483,6651053.331034483,138.03965517241377
78,613165.9724137932,6651052.824137932,138.06162068965517
79,613166.851724138,6651052.31724138,138.08358620689654
80,613167.7310344828,6651051.810344828,138.1055517241379
81,613168.6103448276,6651051.303448277,138.1275172413793
82,613169.4896551725,6651050.796551724,138.14948275862068
83,613170.3689655173,6651050.289655172,138.17144827586208
84,613171.2482758621,6651049.782758621,138.19341379310345
85,613172.1275862069,6651049.275862069,138.21537931034482
86,613173.0068965518,6651048.768965517,138.2373448275862
87,613173.8862068966,6651048.2620689655,138.25931034482758
88,613174.7655172414,6651047.755172414,138.28127586206895
89,613175.6448275862,6651047.248275862,138.30324137931035
90,613176.5241379311,6651046.74137931,138.32520689655172
91,613177.4034482759,6651046.234482759,138.3471724137931
92,613178.2827586207,6651045.727586207,138.3691379310345
93,613179.1620689656,6651045.220689655,138.39110344827586
94,613180.0413793104,6651044.713793104,138.41306896551723
95,613180.9206896552,6651044.206896552,138.43503448275862
96,613181.8,6651043.7,138.457
