Elektrode nr ,X,Y,Z
1,612917.8,6651209.6,133.296
2,612922.3500000001,6651206.824999999,133.56958333333333
3,612926.9,6651204.05,133.84316666666666
4,612931.4500000001,6651201.274999999,134.11675
5,612936.0,6651198.5,134.39033333333333
6,612940.55,6651195.725,134.66391666666667
7,612945.1000000001,6651192.949999999,134.9375
8,612949.65,6651190.175,135.21108333333333
9,612954.2000000001,6651187.399999999,135.48466666666667
10,612958.75,6651184.625,135.75825
11,612963.3,6651181.85,136.03183333333334
12,612967.85,6651179.075,136.30541666666667
13,612972.4,6651176.3,136.579
14,612976.725,6651173.65,136.59725
15,612981.05,6651171.0,136.6155
16,612985.375,6651168.35,136.63375
17,612989.7,6651165.7,136.652
18,612993.8857142857,6651163.028571429,136.9805714285714
19,612998.0714285714,6651160.357142857,137.30914285714286
20,613002.2571428571,6651157.685714286,137.63771428571428
21,613006.4428571429,6651155.014285714,137.9662857142857
22,613010.6285714286,6651152.342857143,138.29485714285713
23,613014.8142857143,6651149.671428571,138.62342857142858
24,613019.0,6651147.0,138.952
25,613023.2875,6651144.3375,138.9150625
26,613027.575,6651141.675,138.878125
27,613031.8625,6651139.0125,138.8411875
28,613036.15,6651136.35,138.80425
29,613040.4375,6651133.6875,138.7673125
30,613044.725,6651131.025,138.73037499999998
31,613049.0125,6651128.3625,138.6934375
32,613053.3,6651125.7,138.6565
33,613057.5875,6651123.037500001,138.6195625
34,613061.875,6651120.375,138.582625
35,613066.1625,6651117.7125,138.54568749999999
36,613070.45,6651115.050000001,138.50875
37,613074.7374999999,6651112.3875,138.4718125
38,613079.025,6651109.725000001,138.43487499999998
39,613083.3125,6651107.0625,138.39793749999998
40,613087.6,6651104.4,138.361
41,613091.80625,6651101.65625,138.3291875
42,613096.0125,6651098.912500001,138.297375
43,613100.21875,6651096.16875,138.2655625
44,613104.425,6651093.425000001,138.23375
45,613108.63125,6651090.68125,138.20193749999999
46,613112.8375,6651087.9375,138.17012499999998
47,613117.04375,6651085.193750001,138.13831249999998
48,613121.25,6651082.45,138.10649999999998
49,613125.45625,6651079.70625,138.0746875
50,613129.6625,6651076.9625,138.042875
51,613133.86875,6651074.21875,138.0110625
52,613138.075,6651071.475,137.97925
53,613142.28125,6651068.73125,137.9474375
54,613146.4875,6651065.9875,137.915625
55,613150.69375,6651063.24375,137.8838125
56,613154.9,6651060.5,137.852
57,613159.2545454545,6651057.890909091,138.0150909090909
58,613163.6090909091,6651055.281818182,138.17818181818183
59,613167.9636363636,6651052.672727273,138.34127272727272
60,613172.3181818182,6651050.0636363635,138.50436363636362
61,613176.6727272727,6651047.454545454,138.66745454545455
62,613181.0272727273,6651044.845454546,138.83054545454544
63,613185.3818181818,6651042.236363636,138.99363636363637
64,613189.7363636364,6651039.627272727,139.15672727272727
65,613194.0909090909,6651037.018181818,139.31981818181816
66,613198.4454545456,6651034.409090909,139.4829090909091
67,613202.8,6651031.8,139.646
68,613207.0,6651029.3875,139.70749999999998
69,613211.2000000001,6651026.975,139.769
70,613215.4,6651024.5625,139.8305
71,613219.6000000001,6651022.15,139.892
72,613223.8,6651019.7375,139.9535
73,613228.0,6651017.325,140.015
74,613232.2000000001,6651014.9125,140.0765
75,613236.4,6651012.5,140.138
76,613241.0,6651010.04,140.1766
77,613245.6,6651007.58,140.2152
78,613250.2000000001,6651005.12,140.25379999999998
79,613254.8,6651002.66,140.2924
80,613259.4,6651000.2,140.331
