Elektrode nr ,X,Y,Z
1,612971.4,6651007.7,150.822
2,612971.86,6651013.03,150.5207
3,612972.3200000001,6651018.36,150.2194
4,612972.78,6651023.69,149.9181
5,612973.24,6651029.0200000005,149.6168
6,612973.7,6651034.35,149.3155
7,612974.16,6651039.68,149.0142
8,612974.62,6651045.01,148.7129
9,612975.08,6651050.34,148.4116
10,612975.54,6651055.67,148.1103
11,612976.0,6651061.0,147.809
12,612976.172972973,6651066.027027027,147.30186486486485
13,612976.3459459459,6651071.054054054,146.79472972972974
14,612976.5189189189,6651076.081081081,146.2875945945946
15,612976.6918918919,6651081.108108108,145.78045945945945
16,612976.8648648649,6651086.135135135,145.2733243243243
17,612977.0378378378,6651091.162162162,144.7661891891892
18,612977.2108108108,6651096.189189189,144.25905405405405
19,612977.3837837838,6651101.216216216,143.7519189189189
20,612977.5567567567,6651106.243243244,143.2447837837838
21,612977.7297297297,6651111.27027027,142.73764864864864
22,612977.9027027027,6651116.297297297,142.2305135135135
23,612978.0756756756,6651121.324324325,141.72337837837838
24,612978.2486486486,6651126.3513513515,141.21624324324324
25,612978.4216216216,6651131.378378378,140.7091081081081
26,612978.5945945946,6651136.405405405,140.20197297297295
27,612978.7675675675,6651141.432432433,139.69483783783784
28,612978.9405405405,6651146.459459459,139.1877027027027
29,612979.1135135135,6651151.486486486,138.68056756756755
30,612979.2864864866,6651156.513513514,138.17343243243243
31,612979.4594594595,6651161.540540541,137.6662972972973
32,612979.6324324325,6651166.567567567,137.15916216216215
33,612979.8054054055,6651171.594594595,136.65202702702703
34,612979.9783783784,6651176.621621622,136.1448918918919
35,612980.1513513514,6651181.6486486485,135.63775675675674
36,612980.3243243244,6651186.675675675,135.1306216216216
37,612980.4972972973,6651191.702702703,134.62348648648648
38,612980.6702702703,6651196.72972973,134.11635135135134
39,612980.8432432433,6651201.756756756,133.6092162162162
40,612981.0162162163,6651206.783783784,133.10208108108108
41,612981.1891891892,6651211.810810811,132.59494594594594
42,612981.3621621622,6651216.837837838,132.0878108108108
43,612981.5351351352,6651221.864864865,131.58067567567565
44,612981.7081081081,6651226.891891892,131.07354054054053
45,612981.8810810811,6651231.918918919,130.5664054054054
46,612982.0540540541,6651236.945945946,130.05927027027025
47,612982.227027027,6651241.972972973,129.55213513513513
48,612982.4,6651247.0,129.045
49,612982.5777777778,6651252.111111111,128.8091111111111
50,612982.7555555556,6651257.222222222,128.5732222222222
51,612982.9333333333,6651262.333333333,128.33733333333333
52,612983.1111111111,6651267.444444444,128.10144444444444
53,612983.2888888889,6651272.555555556,127.86555555555555
54,612983.4666666667,6651277.666666667,127.62966666666667
55,612983.6444444444,6651282.777777778,127.39377777777777
56,612983.8222222222,6651287.888888889,127.15788888888889
57,612984.0,6651293.0,126.922
58,612984.1764705882,6651297.917647059,126.79911764705882
59,612984.3529411765,6651302.835294117,126.67623529411765
60,612984.5294117647,6651307.752941176,126.55335294117647
61,612984.7058823529,6651312.670588235,126.4304705882353
62,612984.8823529412,6651317.588235294,126.30758823529412
63,612985.0588235294,6651322.505882353,126.18470588235294
64,612985.2352941176,6651327.423529412,126.06182352941177
65,612985.4117647059,6651332.341176471,125.93894117647059
66,612985.5882352941,6651337.258823529,125.8160588235294
67,612985.7647058824,6651342.176470588,125.69317647058823
68,612985.9411764706,6651347.094117647,125.57029411764705
69,612986.1176470588,6651352.011764705,125.44741176470588
70,612986.2941176471,6651356.929411764,125.3245294117647
71,612986.4705882353,6651361.847058823,125.20164705882353
72,612986.6470588235,6651366.764705882,125.07876470588235
73,612986.8235294118,6651371.682352941,124.95588235294117
74,612987.0,6651376.6,124.833
75,612987.3,6651381.6,124.7285
76,612987.6,6651386.6,124.624
77,612987.4,6651391.175,124.60925
78,612987.2,6651395.75,124.5945
79,612987.0,6651400.325,124.57974999999999
80,612986.8,6651404.9,124.565
