Elektrode nr ,X,Y,Z
0.0,612976.6,6651127.7,141.47449
1.0,612976.6533333333,6651128.726666667,141.53192
2.0,612976.7066666667,6651129.753333334,141.14552
3.0,612976.76,6651130.78,141.0941
4.0,612976.8133333334,6651131.806666667,141.07925
5.0,612976.8666666667,6651132.833333333,141.0399
6.0,612976.92,6651133.86,140.96225
7.0,612976.9733333334,6651134.886666667,140.88435
8.0,612977.0266666666,6651135.913333333,140.78226
9.0,612977.08,6651136.9399999995,140.12024
10.0,612977.1333333333,6651137.966666667,140.08531
11.0,612977.1866666666,6651138.993333333,140.01776
12.0,612977.24,6651140.02,140.01782
13.0,612977.2933333333,6651141.046666666,140.01675
14.0,612977.3466666667,6651142.073333333,139.97707
15.0,612977.4,6651143.1,139.9251
16.0,612977.4540540541,6651144.102702702,139.7866
17.0,612977.5081081082,6651145.105405405,139.76039
18.0,612977.5621621622,6651146.108108108,139.71205
19.0,612977.6162162162,6651147.110810811,139.64253
20.0,612977.6702702703,6651148.1135135135,139.57076
21.0,612977.7243243244,6651149.116216216,139.50102
22.0,612977.7783783784,6651150.118918919,139.43452
23.0,612977.8324324324,6651151.121621622,139.1327
24.0,612977.8864864865,6651152.124324325,138.97192
25.0,612977.9405405406,6651153.127027026,138.90738
26.0,612977.9945945946,6651154.129729729,138.80833
27.0,612978.0486486487,6651155.132432432,138.74863
28.0,612978.1027027027,6651156.135135135,138.6813
29.0,612978.1567567568,6651157.137837837,138.59454
30.0,612978.2108108108,6651158.14054054,138.27785
31.0,612978.2648648649,6651159.143243243,138.21999
32.0,612978.318918919,6651160.145945946,138.05382
33.0,612978.372972973,6651161.1486486485,137.84584
34.0,612978.427027027,6651162.151351351,137.77933
35.0,612978.4810810811,6651163.154054054,137.62299
36.0,612978.5351351352,6651164.156756757,137.37442
37.0,612978.5891891893,6651165.15945946,137.01509
38.0,612978.6432432432,6651166.162162162,136.86028
39.0,612978.6972972973,6651167.164864865,136.76003
40.0,612978.7513513514,6651168.167567568,136.6869
41.0,612978.8054054055,6651169.170270271,136.50218
42.0,612978.8594594594,6651170.172972973,136.37099
43.0,612978.9135135135,6651171.175675675,136.25342
44.0,612978.9675675676,6651172.178378378,136.13101
45.0,612979.0216216217,6651173.181081081,136.01826
46.0,612979.0756756756,6651174.183783784,135.91663
47.0,612979.1297297297,6651175.186486486,135.86755
48.0,612979.1837837838,6651176.189189189,135.78258
49.0,612979.2378378379,6651177.191891892,135.64183
50.0,612979.2918918919,6651178.194594595,135.46997
51.0,612979.3459459459,6651179.197297297,135.27805
52.0,612979.4,6651180.2,135.19026
53.0,612979.4302325582,6651181.1837209305,135.12914
54.0,612979.4604651163,6651182.167441861,135.04865
55.0,612979.4906976745,6651183.151162791,134.99438
56.0,612979.5209302326,6651184.134883721,134.90819
57.0,612979.5511627907,6651185.118604652,134.8671
58.0,612979.5813953489,6651186.102325582,134.80164
59.0,612979.611627907,6651187.086046512,134.70885
60.0,612979.6418604652,6651188.069767442,134.6194
61.0,612979.6720930233,6651189.053488372,134.54582
62.0,612979.7023255815,6651190.037209302,134.45468
63.0,612979.7325581395,6651191.0209302325,134.38849
64.0,612979.7627906976,6651192.004651163,134.27658
65.0,612979.7930232558,6651192.988372093,134.23265
66.0,612979.8232558139,6651193.972093023,134.27786
67.0,612979.853488372,6651194.955813954,134.35707
68.0,612979.8837209302,6651195.939534884,134.39828
69.0,612979.9139534883,6651196.923255814,134.37505
70.0,612979.9441860465,6651197.9069767445,134.28926
71.0,612979.9744186046,6651198.890697675,134.2561
72.0,612980.0046511628,6651199.874418605,134.2038
73.0,612980.0348837209,6651200.858139535,134.15894
74.0,612980.0651162791,6651201.841860465,134.09373
75.0,612980.0953488372,6651202.825581395,134.09225
76.0,612980.1255813953,6651203.809302325,134.00499
77.0,612980.1558139535,6651204.793023256,133.91591
78.0,612980.1860465116,6651205.776744186,133.86554
79.0,612980.2162790698,6651206.760465116,133.74425
80.0,612980.2465116279,6651207.7441860465,133.61308
81.0,612980.2767441861,6651208.727906977,133.46062
82.0,612980.3069767442,6651209.711627907,133.36182
83.0,612980.3372093023,6651210.695348837,133.31358
84.0,612980.3674418605,6651211.679069768,133.3197
85.0,612980.3976744185,6651212.662790698,133.27963
86.0,612980.4279069767,6651213.646511628,133.26138
87.0,612980.4581395348,6651214.630232559,133.17361
88.0,612980.488372093,6651215.613953488,133.0728
89.0,612980.5186046511,6651216.597674418,133.02765
90.0,612980.5488372092,6651217.5813953485,132.9398
91.0,612980.5790697674,6651218.565116279,132.81367
92.0,612980.6093023255,6651219.548837209,132.72159
93.0,612980.6395348837,6651220.532558139,132.72159
94.0,612980.6697674418,6651221.51627907,132.60408
95.0,612980.7,6651222.5,132.5391
